,H_index,H_index_5,I_index,I_index_5,prof_insti,prof_name,tot_citations,tot_citations_5
300,68,46,378,230,University at Buffalo,Quanxi Jia,20782,9602
301,70,59,233,184,Leibniz Universität Hannover,Boris Chichkov,20735,12353
302,76,49,323,249,University of Toronto,Bryan Gaensler,20596,10419
303,55,54,102,102,NA,Sebastian Steinlechner,20582,19734
304,62,46,226,166,Polytechnique Montréal,Christophe Caloz,20574,10032
305,43,19,76,28,Clemson University,Murray S. Daw,20564,5217
306,74,61,293,237,University of Toledo,Yanfa Yan,20553,14684
307,66,36,193,105,Karlsruhe Institute of Technology,Gerd Schön,20493,5071
308,65,46,212,154,"University of California, San Diego",M. Di Ventra,20450,11349
309,48,48,77,77,Massachusetts Institute of Technology,Liang Fu,20379,16647
310,65,41,240,105,NA,fernando ferroni,20303,6972
311,63,36,225,102,NA,Kazuo Kadowaki,20217,4629
312,69,42,197,118,Homepage,Niek F van Hulst,20164,8764
313,69,42,170,114,University of Illinois at Urbana-Champaign,Eduardo Fradkin,19890,7192
314,60,38,356,164,Purdue University,Sergio Rodriguez,19831,8398
315,52,26,185,54,NA,agranovich vladimir m,19763,5447
316,77,28,203,75,"University of Massachusetts, Amherst",John Donoghue,19698,3464
317,70,43,366,172,KULeuven,Gustaaf Borghs,19691,7033
318,48,21,101,46,University of Utah,A. L. Efros,19532,4302
319,66,39,204,113,NA,roberto bellotti,19438,7731
320,61,36,128,83,University of Florida,Clifford Will,19433,7148
321,77,52,152,141,Yale University,Frank van den Bosch,19358,10195
322,46,46,95,91,NA,Antonino Chiummo,19283,18912
323,61,32,228,100,Ecole polytechnique,Michel FLIESS,19151,5676
324,17,8,23,7,NA,Ramaz Kvatadze,19098,14930
325,72,51,262,188,University of Sydney,Geraint F. Lewis,19096,9732
326,55,48,553,448,UCLA,You Ming Yang,19036,14848
327,44,38,61,52,NA,Chip Stewart,19018,12477
328,65,39,469,274,Institute of Physics,Martin Nikl,18913,9597
329,67,42,269,155,ETH Zurich,Klaus Ensslin,18895,8025
330,66,45,319,220,University of Helsinki,Kai Nordlund,18727,9876
331,43,28,96,65,ICTP,Sandro Scandolo,18424,11961
332,66,39,153,96,Cornell university,James Sethna,18396,7110
333,76,59,177,152,"University of Wisconsin, Madison",Paolo Desiati,18310,12654
334,48,39,270,202,NA,Ping Li,18307,12088
335,75,46,201,148,University of Western Cape,Roy Maartens,18260,7170
336,63,49,175,136,Université de Franche-Comté,John Dudley,18209,10622
337,51,50,103,99,Homepage,Shirley Ho,18192,16745
338,65,37,280,140,Homepage,Lluis Torner,18166,6497
339,77,54,172,154,FHNW,Ernest Weingartner,18021,10013
340,69,40,283,159,Université de Sherbrooke,Andre D Bandrauk,17880,6114
341,71,44,161,109,NA,Antonios Papaikonomou,17834,6551
342,57,39,120,90,Copenhagen University,Eugene Polzik,17746,6810
343,52,32,95,59,MIT,Krishna Rajagopal,17699,4766
344,65,25,123,49,NA,Giovanni Piano Mortari,17670,2948
345,20,19,20,19,CERN,G. Carrillo-Montoya,17661,15614
346,71,54,356,285,jilin university,q. jiang,17660,11531
347,69,47,254,166,University of Chieti-Pescara,Gian Luca Romani,17610,9133
348,47,47,64,64,NA,Miguel Arratia,17566,16784
349,58,37,191,117,NA,A.Rubenchik,17539,6659
350,54,51,85,84,Homepage,Alexander Khalaidovski,17523,15221
351,59,37,152,76,LIP,Patrícia Gonçalves,17458,6735
352,71,40,196,144,Carnegie Mellon University,Reinhard A. Schumacher,17324,5580
353,45,33,101,83,University of Regensburg,Jaroslav Fabian,17295,9163
354,68,39,158,123,University of Turin,Roberto Gallino,17250,6687
355,9,9,8,8,European Spallation Source,Dorothea Pfeiffer,17095,14898
356,43,31,88,56,University of California Davis,Sergey Savrasov,17035,9819
357,33,25,71,51,Reykjavik University,Andrei Manolescu,16996,6103
358,48,44,72,71,ICFO,Frank Koppens,16969,13911
359,56,51,88,87,Nagoya University,Akira Okumura,16957,12126
360,38,38,67,67,"California State University, Fullerton",Fabian Magaña-Sandoval,16940,16786
361,69,41,227,138,Rice University,Herbert Levine,16937,6196
362,71,69,168,164,University of Illinois at Urbana-Champaign,Joaquin D. Vieira,16881,13708
363,55,50,108,104,Lawrence Berkeley National Laboratory,Mateusz Ploskon,16858,12634
364,72,51,230,159,Utah State University,Alexander I. Boldyrev,16776,8040
365,45,44,92,85,Massachusetts Institute of  Technology,Eric Oelker,16774,16331
366,61,38,389,220,USP,Osvaldo N. Oliveira Jr.,16658,7359
367,38,38,67,67,Max  Planck Institute for Gravitational Physics,Andrea Taracchini,16645,16458
368,71,35,143,84,NA,Dmitry Ozerov,16613,4667
369,56,36,123,82,Jefferson Lab,jianwei qiu,16608,6198
370,50,42,420,273,NA,Ajay Vikram Singh,16531,11470
371,57,31,115,65,Royal Insitute of Technology,Claes Johnson,16498,3913
372,52,18,137,27,Rutgers University,Richard E. Howard,16464,5270
373,55,30,192,81,University of Tokyo,H Katayama-Yoshida,16424,4800
374,58,39,205,126,Nordita,A Balatsky,16258,7151
375,64,46,142,91,Universität Stuttgart,Tilman Pfau,16173,8109
376,65,31,237,121,University of Delaware,Qaisar Shafi,16113,4735
377,58,35,219,127,University of South Carolina,Thomas Vogt,16064,5943
378,56,34,118,76,University of Notre Dame,Craig Lent,15980,5630
379,44,24,105,45,Los Alamos National Laboratory,R. C. Albers,15961,3815
380,30,15,42,20,Homepage,John F. Clauser,15890,5161
381,53,19,219,50,University of Houston,Wei-Kan Chu,15887,2050
382,68,35,212,105,Homepage,Timothy J. Lee,15722,4515
383,55,40,128,95,UCSB,Chetan Nayak,15697,8407
384,53,45,196,154,National Institute of Advanced Industrial Science and Technology,Shinji Yuasa,15653,8968
385,33,33,60,60,University of Maryland,Robinjeet Singh,15573,15416
